Time,source,Cod,Saithe,Haddock,,"## one column for each species, this is total biomass, not SSB"
1956,MRI,1989261.166,NA,NA,,
1957,MRI,1810371.488,NA,NA,,
1958,MRI,1686371.892,NA,NA,,
1959,MRI,1741681.547,NA,NA,,
1960,MRI,1681511.021,NA,NA,,
1961,MRI,1526707.308,NA,NA,,
1962,MRI,1181686.864,NA,NA,,
1963,MRI,1283698.349,NA,NA,,
1964,MRI,1219352.688,NA,NA,,
1965,MRI,1138349.636,NA,NA,,
1966,MRI,905102.882,NA,NA,,
1967,MRI,955102.482,NA,NA,,
1968,MRI,1004597.022,NA,NA,,
1969,MRI,1015056.207,NA,NA,,
1970,MRI,1146385.818,NA,NA,,
1971,MRI,1092618.951,NA,NA,,
1972,MRI,914751.084,NA,NA,,
1973,MRI,825026.615,NA,NA,,
1974,MRI,764147.512,NA,NA,,
1975,MRI,786227.744,NA,NA,,
1976,MRI,836835.587,NA,NA,,
1977,MRI,962984.125,NA,NA,,
1978,MRI,1065659.491,NA,NA,,
1979,MRI,1176734.831,NA,NA,,
1980,MRI,1280620.697,NA,179988.85,,
1981,MRI,1278288.605,268262.28,192664.378,,
1982,MRI,1039179.8,268486.718,199446.232,,
1983,MRI,809180.992,266031.774,177426.745,,
1984,MRI,701961.935,256216.588,142153.818,,
1985,MRI,775546.283,262354.632,114271.348,,
1986,MRI,738781.56,307485.283,116292.042,,
1987,MRI,939405.656,347884.106,124385.414,,
1988,MRI,879147.398,366624.655,131546.142,,
1989,MRI,853007.469,384118.829,168319.569,,
1990,MRI,828602.496,360596.948,174367.979,,
1991,MRI,759088.884,360640.733,149884.606,,
1992,MRI,646270.726,312438.645,140947.702,,
1993,MRI,535039.591,272948.171,134626.253,,
1994,MRI,525074.782,232036.433,140368.457,,
1995,MRI,545206.696,216712.591,142917.971,,
1996,MRI,566346.735,176873.076,139184.02,,
1997,MRI,618936.183,156497.518,117960.553,,
1998,MRI,671796.467,144191.84,106621.868,,
1999,MRI,669494.164,138644.135,99699.655,,
2000,MRI,622003.095,154066.363,103155.04,,
2001,MRI,595465.624,173523.296,115405.799,,
2002,MRI,600989.577,223474.614,147712.974,,
2003,MRI,641071.976,259612.669,204988.752,,
2004,MRI,662475.208,276194.054,244832.741,,
2005,MRI,658709.149,329849.763,302656.846,,
2006,MRI,623515.251,332872.965,320233.86,,
2007,MRI,609336.175,314358.401,308047.926,,
2008,MRI,582102.044,285663.624,300119.181,,
2009,MRI,599224.643,280246.534,259187.278,,
2010,MRI,630138.292,266881.082,210060.811,,
2011,MRI,679302.332,266740.028,174011.427,,
2012,MRI,811735.919,254728.548,156008.8,,
2013,MRI,915088.044,254817.296,148911.398,,
